Rank;School;Conference;Record;Road;Neutral;Home;Non Div-I;;;;
1;Northwestern;Big Ten;21-1;5-1;4-0;12-0;0-0;;;;
2;Boston College;ACC;19-4;5-2;4-2;10-0;0-0;;;;
3;Syracuse;ACC;18-3;5-0;1-2;12-1;0-0;;;;
4;Denver;Big East;22-1;10-0;3-1;9-0;0-0;;;;
5;North Carolina;ACC;16-5;4-2;4-2;8-1;0-0;;;;
6;James Madison;AAC;19-3;7-2;2-1;10-0;0-0;;;;
7;Loyola Maryland;Patriot;19-3;7-2;0-0;12-1;0-0;;;;
8;Florida;AAC;17-4;5-2;2-0;10-2;0-0;;;;
9;Maryland;Big Ten;15-7;5-5;2-1;8-1;0-0;;;;
10;Notre Dame;ACC;15-6;4-4;3-1;8-1;0-0;;;;
11;Stony Brook;CAA;15-4;6-4;3-0;6-0;0-0;;;;
12;Michigan;Big Ten;12-8;3-6;1-1;8-1;0-0;;;;
13;Penn;Ivy League;14-5;5-4;1-0;8-1;0-0;;;;
14;Johns Hopkins;Big Ten;9-9;4-5;1-0;4-4;0-0;;;;
15;Army West Point;Patriot;15-4;6-3;1-0;8-1;0-0;;;;
16;UConn;Big East;12-7;4-2;0-2;8-3;0-0;;;;
17;Virginia;ACC;11-7;4-5;1-2;6-0;0-0;;;;
18;UAlbany;America East;13-7;5-5;1-0;7-2;0-0;;;;
19;Massachusetts;Atlantic 10;16-3;8-1;1-2;7-0;0-0;;;;
20;Marquette;Big East;15-4;8-1;0-1;7-2;0-0;;;;
21;Richmond;Atlantic 10;17-4;8-2;3-1;6-1;0-0;;;;
22;Fairfield;MAAC;14-5;6-4;0-0;8-1;0-0;;;;
23;Southern California;Pac-12;16-4;6-4;2-0;8-0;0-0;;;;
24;Jacksonville;ASUN;12-8;3-2;2-0;7-6;0-0;;;;
25;Drexel;CAA;12-6;4-4;0-1;8-1;0-0;;;;
26;Mercer;Big South;17-3;8-0;0-1;9-2;0-0;;;;
27;Villanova;Big East;11-6;5-2;0-1;6-3;0-0;;;;
28;Rutgers;Big Ten;8-9;5-3;0-2;3-4;0-0;;;;
29;Navy;Patriot;13-6;6-4;0-1;7-1;0-0;;;;
30;Yale;Ivy League;11-6;5-5;1-0;5-1;0-0;;;;
31;Stanford;Pac-12;10-8;3-5;0-2;7-1;0-0;;;;
32;Penn St.;Big Ten;11-7;2-5;1-1;8-1;0-0;;;;
33;Liberty;ASUN;12-7;5-4;1-1;6-2;0-0;;;;
34;Clemson;ACC;12-6;3-4;0-1;9-1;0-0;;;;
35;Lehigh;Patriot;12-6;7-3;0-0;5-3;0-0;;;;
36;Towson;CAA;11-7;5-4;0-0;6-3;0-0;;;;
37;Duke;ACC;8-10;4-4;0-2;4-4;0-0;;;;
38;Cincinnati;AAC;11-7;4-5;0-1;7-1;0-0;;;;
